,Date,Country,Death Confirmed,Outbreak Case,Year,Month
283,2015-01-06,Guinea,1781.0,2775.0,2015,1
284,2015-01-06,Liberia,3496.0,8157.0,2015,1
285,2015-01-06,Mali,6.0,8.0,2015,1
286,2015-01-06,Nigeria,8.0,20.0,2015,1
287,2015-01-06,Senegal,0.0,1.0,2015,1
288,2015-01-06,Sierra Leone,2943.0,9780.0,2015,1
289,2015-01-06,Spain,0.0,1.0,2015,1
290,2015-01-06,United Kingdom,0.0,1.0,2015,1
291,2015-01-06,United States of America,1.0,4.0,2015,1
292,2015-01-07,Guinea,1781.0,2775.0,2015,1
293,2015-01-07,Liberia,3496.0,8157.0,2015,1
294,2015-01-07,Mali,6.0,8.0,2015,1
295,2015-01-07,Nigeria,8.0,20.0,2015,1
296,2015-01-07,Senegal,0.0,1.0,2015,1
297,2015-01-07,Sierra Leone,2943.0,9780.0,2015,1
298,2015-01-07,Spain,0.0,1.0,2015,1
299,2015-01-07,United Kingdom,0.0,1.0,2015,1
300,2015-01-07,United States of America,1.0,4.0,2015,1
301,2015-01-08,Guinea,1786.0,2776.0,2015,1
302,2015-01-08,Liberia,3496.0,8166.0,2015,1
303,2015-01-08,Mali,6.0,0.0,2015,1
304,2015-01-08,Sierra Leone,2977.0,10030.0,2015,1
305,2015-01-08,United Kingdom,0.0,0.0,2015,1
306,2015-01-09,Guinea,1797.0,2793.0,2015,1
307,2015-01-09,Liberia,3515.0,8263.0,2015,1
308,2015-01-09,Mali,6.0,0.0,2015,1
309,2015-01-09,Sierra Leone,2977.0,10030.0,2015,1
310,2015-01-09,United Kingdom,0.0,0.0,2015,1
311,2015-01-12,Guinea,1807.0,2799.0,2015,1
312,2015-01-12,Liberia,3515.0,8278.0,2015,1
313,2015-01-12,Mali,6.0,0.0,2015,1
314,2015-01-12,Sierra Leone,3049.0,10094.0,2015,1
315,2015-01-12,United Kingdom,0.0,0.0,2015,1
316,2015-01-13,Guinea,1807.0,2799.0,2015,1
317,2015-01-13,Liberia,3515.0,8278.0,2015,1
318,2015-01-13,Mali,6.0,0.0,2015,1
319,2015-01-13,Sierra Leone,3049.0,10094.0,2015,1
320,2015-01-13,United Kingdom,0.0,0.0,2015,1
321,2015-01-14,Guinea,1814.0,2806.0,2015,1
322,2015-01-14,Liberia,3538.0,8331.0,2015,1
323,2015-01-14,Mali,6.0,8.0,2015,1
324,2015-01-14,Nigeria,8.0,20.0,2015,1
325,2015-01-14,Senegal,0.0,1.0,2015,1
326,2015-01-14,Sierra Leone,3062.0,10124.0,2015,1
327,2015-01-14,Spain,0.0,1.0,2015,1
328,2015-01-14,United Kingdom,0.0,1.0,2015,1
329,2015-01-14,United States of America,1.0,4.0,2015,1
330,2015-01-15,Guinea,1821.0,2817.0,2015,1
331,2015-01-15,Liberia,3556.0,8362.0,2015,1
332,2015-01-15,Mali,6.0,8.0,2015,1
333,2015-01-15,Nigeria,8.0,20.0,2015,1
334,2015-01-15,Senegal,0.0,1.0,2015,1
335,2015-01-15,Sierra Leone,3067.0,10150.0,2015,1
336,2015-01-15,Spain,0.0,1.0,2015,1
337,2015-01-15,United Kingdom,0.0,1.0,2015,1
338,2015-01-15,United States of America,1.0,4.0,2015,1
339,2015-01-16,Guinea,1829.0,2825.0,2015,1
340,2015-01-16,Liberia,3556.0,8362.0,2015,1
341,2015-01-16,Mali,6.0,8.0,2015,1
342,2015-01-16,Nigeria,8.0,20.0,2015,1
343,2015-01-16,Senegal,0.0,1.0,2015,1
344,2015-01-16,Sierra Leone,3083.0,10186.0,2015,1
345,2015-01-16,Spain,0.0,1.0,2015,1
346,2015-01-16,United Kingdom,0.0,1.0,2015,1
347,2015-01-16,United States of America,1.0,4.0,2015,1
348,2015-01-19,Guinea,1875.0,2873.0,2015,1
349,2015-01-19,Liberia,3587.0,8435.0,2015,1
350,2015-01-19,Mali,6.0,8.0,2015,1
